# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       4.418869199311e-10       1.350006430540e-13      -4.666428488298e-12       0.000000000000e+00       6.535996315723e-12       9.897713466997e-13      -6.044701354695e-15 
  119       4.464716454649e-10       1.363255153493e-13      -4.745366514181e-12       0.000000000000e+00       6.388010174311e-12       9.724176670749e-13      -5.974176034637e-15 
  120       4.510695060056e-10       1.375981436121e-13      -4.823033282733e-12       0.000000000000e+00       6.244466168278e-12       9.555005527609e-13      -5.902711697670e-15 
  121       4.556791164871e-10       1.388170679620e-13      -4.899352834108e-12       0.000000000000e+00       6.105045258051e-12       9.389823284365e-13      -5.830315512208e-15 
  122       4.602989623535e-10       1.399808556824e-13      -4.974248977506e-12       0.000000000000e+00       5.969384228169e-12       9.228201987633e-13      -5.756989972779e-15 
  123       4.649275817796e-10       1.410881500894e-13      -5.047646270994e-12       0.000000000000e+00       5.837154074800e-12       9.069762623351e-13      -5.682761552860e-15 
  124       4.695641434143e-10       1.421378208992e-13      -5.119473028832e-12       0.000000000000e+00       5.708307733718e-12       8.914491316863e-13      -5.607770739412e-15 
  125       4.742079287906e-10       1.431288335123e-13      -5.189658713941e-12       0.000000000000e+00       5.582858848627e-12       8.762457189889e-13      -5.532192081226e-15 
  126       4.788581506046e-10       1.440602044876e-13      -5.258133052090e-12       0.000000000000e+00       5.460804339189e-12       8.613713690765e-13      -5.456206361071e-15 
  127       4.835139507124e-10       1.449310031363e-13      -5.324826067347e-12       0.000000000000e+00       5.342123914497e-12       8.468298098979e-13      -5.380000658658e-15 
  128       4.881743981271e-10       1.457403531154e-13      -5.389668117532e-12       0.000000000000e+00       5.226779586552e-12       8.326231029690e-13      -5.303768413601e-15 
  129       4.928384870167e-10       1.464874340210e-13      -5.452589929676e-12       0.000000000000e+00       5.114715183742e-12       8.187515938266e-13      -5.227709488378e-15 
  130       4.975051347009e-10       1.471714829824e-13      -5.513522635470e-12       0.000000000000e+00       5.005855864317e-12       8.052138624807e-13      -5.152030231297e-15 
  131       5.021731796484e-10       1.477917962552e-13      -5.572397806718e-12       0.000000000000e+00       4.900107629864e-12       7.920066738681e-13      -5.076943539451e-15 
