# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.917102257967e-01       9.581623914248e+02 
       2.949161403440e-01       9.373470004399e+02 
       2.981220557070e-01       9.181950982281e+02 
       3.013279718595e-01       9.005441989095e+02 
       3.045338887766e-01       8.840937331731e+02 
       3.077398064342e-01       8.686070520054e+02 
       3.109457248093e-01       8.537653955932e+02 
       3.141516438798e-01       8.392772434863e+02 
       3.173575636245e-01       8.250060507899e+02 
       3.205634840231e-01       8.106476198578e+02 
       3.237694050560e-01       7.960599660601e+02 
       3.269753267046e-01       7.812957350476e+02 
       3.301812489507e-01       7.662698359200e+02 
       3.333871717772e-01       7.510990940469e+02 
       3.365930951673e-01       7.359105145395e+02 
       3.397990191049e-01       7.208422723877e+02 
       3.430049435747e-01       7.060078314108e+02 
       3.462108685619e-01       6.915873871680e+02 
       3.494167940520e-01       6.776655579424e+02 
       3.526227200314e-01       6.643225225589e+02 
       3.558286464867e-01       6.515901962713e+02 
       3.590345734052e-01       6.395459598317e+02 
       3.622405007744e-01       6.281319059255e+02 
       3.654464285826e-01       6.173283783065e+02 
       3.686523568181e-01       6.070669620873e+02 
       3.718582854698e-01       5.972277633887e+02 
       3.750642145271e-01       5.877284965748e+02 
       3.782701439797e-01       5.784217116191e+02 
       3.814760738174e-01       5.692922164439e+02 
       3.846820040306e-01       5.602847319663e+02 
       3.878879346100e-01       5.513092114167e+02 
       3.910938655465e-01       5.424035766094e+02 
       3.942997968315e-01       5.334953099030e+02 
       3.975057284563e-01       5.246350331447e+02 
       4.007116604129e-01       5.158424089368e+02 
       4.039175926933e-01       5.071247889063e+02 
       4.071235252897e-01       4.985454010879e+02 
       4.103294581949e-01       4.901374643707e+02 
       4.135353914016e-01       4.819597961739e+02 
       4.167413249027e-01       4.740031961239e+02 
       4.199472586916e-01       4.662889460277e+02 
       4.231531927616e-01       4.588391665843e+02 
       4.263591271064e-01       4.516384931157e+02 
       4.295650617198e-01       4.446762657455e+02 
       4.327709965959e-01       4.379411819374e+02 
       4.359769317287e-01       4.314246513352e+02 
       4.391828671128e-01       4.250959001548e+02 
       4.423888027425e-01       4.189162102262e+02 
       4.455947386125e-01       4.128934338860e+02 
       4.488006747178e-01       4.069984536066e+02 
       4.520066110532e-01       4.011598397920e+02 
       4.552125476139e-01       3.954003498253e+02 
       4.584184843952e-01       3.897083971294e+02 
       4.616244213924e-01       3.840795851547e+02 
       4.648303586011e-01       3.785180913212e+02 
       4.680362960168e-01       3.730290214332e+02 
       4.712422336354e-01       3.676177157717e+02 
       4.744481714528e-01       3.622900755687e+02 
       4.776541094648e-01       3.570677706192e+02 
       4.808600476677e-01       3.519336655882e+02 
       4.840659860575e-01       3.469114026254e+02 
       4.872719246307e-01       3.420152566748e+02 
       4.904778633835e-01       3.372480027663e+02 
       4.936838023125e-01       3.326108238138e+02 
       4.968897414143e-01       3.280952814849e+02 
       5.000956806855e-01       3.236920996200e+02 
       5.033016201229e-01       3.193900335583e+02 
       5.065075597233e-01       3.151755352041e+02 
       5.097134994836e-01       3.110491735043e+02 
       5.129194394008e-01       3.069961813685e+02 
       5.161253794721e-01       3.030113090637e+02 
       5.193313196944e-01       2.990921164026e+02 
       5.225372600651e-01       2.952288484940e+02 
       5.257432005814e-01       2.914173000406e+02 
       5.289491412406e-01       2.876544276779e+02 
       5.321550820403e-01       2.839408105225e+02 
       5.353610229777e-01       2.802811084907e+02 
       5.385669640505e-01       2.766807529240e+02 
       5.417729052563e-01       2.731442217982e+02 
       5.449788465927e-01       2.696728895435e+02 
       5.481847880574e-01       2.662680468403e+02 
       5.513907296481e-01       2.629278567688e+02 
       5.545966713627e-01       2.596495226479e+02 
       5.578026131991e-01       2.564338397419e+02 
       5.610085551551e-01       2.532802452354e+02 
       5.642144972286e-01       2.501888746878e+02 
