# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.560026616419e-10       1.392607195781e-13      -4.892193063708e-12       6.064553564301e-16       6.105045258051e-12       9.389823284365e-13      -5.830315512208e-15 
  122       4.606194334932e-10       1.404317832889e-13      -4.966764529931e-12       6.169003317229e-16       5.969384228169e-12       9.228201987633e-13      -5.756989972779e-15 
  123       4.652447264203e-10       1.415465768228e-13      -5.039830448527e-12       6.274540372888e-16       5.837154074800e-12       9.069762623351e-13      -5.682761552860e-15 
  124       4.698777048978e-10       1.426039819244e-13      -5.111319267997e-12       6.381172780262e-16       5.708307733718e-12       8.914491316863e-13      -5.607770739412e-15 
  125       4.745176454673e-10       1.436029764108e-13      -5.181160600865e-12       6.488908282362e-16       5.582858848627e-12       8.762457189889e-13      -5.532192081226e-15 
  126       4.791637557771e-10       1.445425896507e-13      -5.249284334500e-12       6.597754705200e-16       5.460804339189e-12       8.613713690765e-13      -5.456206361071e-15 
  127       4.838151725787e-10       1.454219041640e-13      -5.315620666782e-12       6.707719957438e-16       5.342123914497e-12       8.468298098979e-13      -5.380000658658e-15 
  128       4.884709597229e-10       1.462400572198e-13      -5.380100141778e-12       6.818812030045e-16       5.226779586552e-12       8.326231029690e-13      -5.303768413601e-15 
  129       4.931301061565e-10       1.469962424355e-13      -5.442653685413e-12       6.931038995941e-16       5.114715183742e-12       8.187515938266e-13      -5.227709488378e-15 
  130       4.977915239187e-10       1.476897113757e-13      -5.503212641147e-12       7.044409009658e-16       5.005855864317e-12       8.052138624807e-13      -5.152030231297e-15 
  131       5.024540461375e-10       1.483197751506e-13      -5.561708805644e-12       7.158930306985e-16       4.900107629864e-12       7.920066738681e-13      -5.076943539451e-15 
  132       5.071164250265e-10       1.488858060152e-13      -5.618074464448e-12       7.274611204623e-16       4.797356838788e-12       7.791249283045e-13      -5.002668921683e-15 
  133       5.117773298806e-10       1.493872389676e-13      -5.672242427654e-12       7.391460099836e-16       4.697469719785e-12       7.665616119380e-13      -4.929432561551e-15 
  134       5.164353450734e-10       1.498235733482e-13      -5.724146065581e-12       7.509485470105e-16       4.600291885321e-12       7.543077472020e-13      -4.857467380284e-15 
  135       5.210889680527e-10       1.501943744381e-13      -5.773719344448e-12       7.628695872777e-16       4.505647845105e-12       7.423523432677e-13      -4.787013099748e-15 
  136       5.257366073378e-10       1.504992750581e-13      -5.820896862043e-12       7.749099944716e-16       4.413340519571e-12       7.306823464976e-13      -4.718316305404e-15 
  137       5.303767201837e-10       1.507380043341e-13      -5.865614502506e-12       7.870706130810e-16       4.323193061929e-12       7.192852416178e-13      -4.651570142751e-15 
  138       5.350082458944e-10       1.509104739689e-13      -5.907811401616e-12       7.993521838485e-16       4.235180238527e-12       7.081572639035e-13      -4.586726230607e-15 
  139       5.396302137584e-10       1.510167039706e-13      -5.947428253457e-12       8.117554194636e-16       4.149309784443e-12       6.972959467967e-13      -4.523663313541e-15 
  140       5.442416062973e-10       1.510567980415e-13      -5.984406748787e-12       8.242810306868e-16       4.065581098787e-12       6.866975150160e-13      -4.462245564827e-15 
  141       5.488413581486e-10       1.510309453497e-13      -6.018689614647e-12       8.369297261435e-16       3.983985026713e-12       6.763568518339e-13      -4.402322266255e-15 
  142       5.534283549485e-10       1.509394222999e-13      -6.050220653958e-12       8.497022121165e-16       3.904503641438e-12       6.662674663546e-13      -4.343727487928e-15 
  143       5.580014322150e-10       1.507825943049e-13      -6.078944785129e-12       8.625991923398e-16       3.827110026265e-12       6.564214607915e-13      -4.286279768071e-15 
  144       5.625593742310e-10       1.505609175564e-13      -6.104808081656e-12       8.756213677908e-16       3.751768056590e-12       6.468094977446e-13      -4.229781792831e-15 
  145       5.671009129267e-10       1.502749407968e-13      -6.127757811727e-12       8.887694364841e-16       3.678432181929e-12       6.374207674783e-13      -4.174020076084e-15 
  146       5.716247267633e-10       1.499253070897e-13      -6.147742477821e-12       9.020440932643e-16       3.607047207928e-12       6.282429551988e-13      -4.118764639236e-15 
  147       5.761294396156e-10       1.495127555917e-13      -6.164711856315e-12       9.154460295991e-16       3.537548078386e-12       6.192622083315e-13      -4.063768691029e-15 
  148       5.806136196546e-10       1.490381233232e-13      -6.178617037085e-12       9.289759333724e-16       3.469859657268e-12       6.104631037988e-13      -4.008768307346e-15 
  149       5.850757782313e-10       1.485023469399e-13      -6.189410463109e-12       9.426344886773e-16       3.403896510725e-12       6.018286152976e-13      -3.953482111010e-15 
  150       5.895143687586e-10       1.479064645036e-13      -6.197045970066e-12       9.564223756095e-16       3.339562689110e-12       5.933400805767e-13      -3.897610951593e-15 
  151       5.939277855953e-10       1.472516172537e-13      -6.201478825946e-12       9.703402700600e-16       3.276751508995e-12       5.849771687145e-13      -3.840837585216e-15 
  152       5.983143629283e-10       1.465390513786e-13      -6.202665770644e-12       9.843888435085e-16       3.215345335191e-12       5.767178473966e-13      -3.782826354357e-15 
  153       6.026724960016e-10       1.457701032480e-13      -6.200565286518e-12       9.985687079736e-16       3.155239903349e-12       5.685434573856e-13      -3.723304630140e-15 
